,PO_ID,Current Status,Relevant Timestamp,Days,Days Bucket,Delays,Delays Bucket,Today_Target_delay,Today_Target_delay Bucket
167,PO369360EDOU-00000313,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
168,PO369368EDOU-0000111,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
169,PO370436PXGU-0000011,23. INB Creation Pending,,4,04-08,Missing,Missing,4,04-08
170,PO371168PXFU-0000691,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-11,On-Track
171,PO371190PXSA-00017788,14. SM Sign-Off Pending,,16,15+,Missing,Missing,16,15+
172,PO372373BOLT-0012908,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
173,PO372373BOLT-00121036,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
174,PO372373BOLT-001245110,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
175,PO372373BOLT-001195119,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
176,PO372373BOLT-001242131,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
177,PO372373BOLT-001050160,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
178,PO372395DONB-0002185,26. BL Payment Pending - In Transit,-7.0,5,04-08,-7.0,On-Track,5,04-08
179,PO372477KIDZ-0002352,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-4,On-Track
180,PO372601PXIN-0001641,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
181,PO372601PXIN-0001696,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
182,PO372691STEAD-0000011,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
183,PO372797PXFU-0001461,22. Non FOB Pickup Pending,,6,04-08,Missing,Missing,6,04-08
184,PO373251DONB-0000802,20. Pre Pickup Check,,5,04-08,Missing,Missing,5,04-08
185,PO373266HIGH-0000011,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-14,On-Track
186,PO373323PXIN-0000519,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
187,PO373323PXIN-00004025,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
188,PO373326PXIN-0000515,21. FOB Pickup Pending,,11,09-15,Missing,Missing,11,09-15
189,PO374007BOLT-0010812,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
190,PO365674BRUN-0005137,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
191,PO365676BRUN-00025324,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
192,PO365755DAZM-0000136,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
193,PO365829ENNO-0000037,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
194,PO365921GOER-00046132,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
195,PO366080KIDZ-00000828,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
196,PO366386VDOM-0000251,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
197,PO366625HALL-00003819,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
198,PO366952JEWE-0002461,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
199,PO367906PXBR-0000211,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
200,PO369193LIVE-0000601,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
201,PO371934M2B2-1002292,09. Under Production,,71,15+,Missing,Missing,71,15+
202,PO372356BEAR-0000273,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
203,PO372369BLAC-0000431,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
204,PO372373BOLT-00106227,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
205,PO372373BOLT-00111943,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
206,PO372373BOLT-00132898,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
207,PO372373BOLT-001200113,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
208,PO372429HAPL-0000172,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
209,PO372450HYDB - 0001295,28. Telex Release Pending,-32.0,On-Track,On-Track,-32.0,On-Track,-25,On-Track
210,PO372477KIDZ-0002347,30. Stock Delivery Pending,,1,01-03,Missing,Missing,1,01-03
211,PO373323PXIN-0000923,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
212,PO373323PXIN-00003715,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
213,PO373323PXIN-00002917,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
214,PO373983BAMO-0001691,19. Supplier Pickup Date Pending,2.0,On track,On track,2.0,01-03,9,09-15
215,PO373983BAMO-0001769,19. Supplier Pickup Date Pending,2.0,On track,On track,2.0,01-03,9,09-15
216,PO374002BLAC-0000112,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-19,On-Track
217,PO374014BUNT-0000081,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
218,PO374029DONB-0002432,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
219,PO374041FIDE-0000691,30. Stock Delivery Pending,,Missing,Missing,Missing,Missing,Missing,Missing
220,PO374084KETT-0001202,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-25,On-Track
221,PO374084KETT-0001186,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-25,On-Track
222,PO374199PXIP-00006314,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
223,PO374292GOER-0002562,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-24,On-Track
224,PO374372PXCR-0000454,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
225,PO374441PXSA-00029527,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
226,PO375216M2B1-1006046,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
227,PO375217NETF-0000081,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
228,PO375229REGA-0000081,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
229,PO375318GRAC-0000781,20. Pre Pickup Check,,6,04-08,Missing,Missing,6,04-08
230,PO375331HYDB-0003221,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
231,PO375336HYDB - 0002103,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
232,PO375350LUMA-0000191,23. INB Creation Pending,,1,01-03,Missing,Missing,1,01-03
233,PO375368POWR-0008591,20. Pre Pickup Check,,6,04-08,Missing,Missing,6,04-08
234,PO375372PROB-0000471,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
235,PO375383PXFU-0001612,20. Pre Pickup Check,,13,09-15,Missing,Missing,13,09-15
236,PO375423PXWE-0001532,22. Non FOB Pickup Pending,,3,01-03,Missing,Missing,3,01-03
237,PO375429ROLA-0000142,23. INB Creation Pending,,6,04-08,Missing,Missing,6,04-08
238,PO375437SUNG-0000341,23. INB Creation Pending,,1,01-03,Missing,Missing,1,01-03
239,PO3771652LBD-0001054,01. PO Approval Pending,-1.0,25,15+,-1.0,On-Track,25,15+
240,PO377183BAMO-0002231,01. PO Approval Pending,-1.0,25,15+,-1.0,On-Track,25,15+
241,PO377311PROB-0000732,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
242,PO377359PXIP-0000471,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
243,PO377365PXPR-0001362,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
244,PO377368PXPR-0001531,17. QC Schedule Pending,,On-Track,On-Track,Missing,Missing,-5,On-Track
245,PO377459PXWE-0001561,B. Compliance Blocked,Status B,Missing,Missing,,Missing,Missing,Missing
246,PO361424YUMA-0000102,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
247,PO362782WOND-0001582,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,0,On-Track
248,PO365584BAHI-0000432,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
249,PO365768DDOX-0000701,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
250,PO365967HAMI-00048059,10. PRD Confirmation Pending,,1,1,Missing,Missing,350,15+
251,PO366270REGA-0000042,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
252,PO367462REGA-0000051,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
253,PO367969PXKE-2000251,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
254,PO368128ROOM-03360027,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
255,PO369360EDOU-0000032,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
256,PO370998YIDB-0001386,32. Dispute - PO Closing Pending,,85,15+,Missing,Missing,85,15+
257,PO371890EVER-0001474,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
258,PO372373BOLT-00106331,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
259,PO372373BOLT-001114117,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
260,PO372396DONB-0000891,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-13,On-Track
261,PO372411EVER-0001825,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
262,PO372432HAPP-0000082,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
263,PO372600PXIN-00008831,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
264,PO372732GOER-0003514,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
265,PO372791PXFU-0000695,20. Pre Pickup Check,,20,15+,Missing,Missing,20,15+
266,PO372806PLEM-0000431,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
267,PO373226ATLA-0000332,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
268,PO373301PROB-0000043,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
269,PO373323PXIN-00000618,24. Mark In-Transit Pending,,8,04-08,Missing,Missing,8,04-08
270,PO373879VDOM-00001010,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
271,PO373885BOLT-00005010,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
272,PO3739622WAY-0000102,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
273,PO3739632WAY-0000594,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
274,PO373992BEBA-0000311,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-16,On-Track
275,PO374069HYDB - 0001612,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
276,PO374084KETT-00013717,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-25,On-Track
277,PO374096KNIT-0000062,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-19,On-Track
278,PO374139PROB-0000732,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
279,PO374173PXFU-0000652,21. FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
280,PO374191PXHU-0000017,24. Mark In-Transit Pending,,7,04-08,Missing,Missing,7,04-08
281,PO374232PXPX-0000384,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
282,PO374312BEGR-00046714,10. PRD Confirmation Pending,,30,15+,Missing,Missing,30,15+
283,PO374372PXCR-0000427,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
284,PO374441PXSA-0001479,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
285,PO374085KETT-0001342,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-22,On-Track
286,PO374133PRCH-0001322,23. INB Creation Pending,,8,04-08,Missing,Missing,8,04-08
287,PO374174PXFU-00016312,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-11,On-Track
288,PO374180PXFU-0003192,29. Custom Clearance Pending,,On track,On track,Missing,Missing,14,09-15
289,PO374196PXIN-0000091,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
290,PO374247PXWE-0000311,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
291,PO374270VDOM-0000061,29. Custom Clearance Pending,,On track,On track,Missing,Missing,14,09-15
292,PO374272VIIR_0000192,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-16,On-Track
293,PO374441PXSA-00010010,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
294,PO374441PXSA-00015642,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
295,PO375039DDOX-0005971,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
296,PO375223BARV-0000223,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
297,PO375325HAWW-0000571,22. Non FOB Pickup Pending,,4,04-08,Missing,Missing,4,04-08
298,PO375433SLOK-0000071,22. Non FOB Pickup Pending,,4,04-08,Missing,Missing,4,04-08
299,PO375448YIDB-0001385,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-20,On-Track
300,PO375465GOER-0003211,18. FFW Booking Missing,,1,01-03,Missing,Missing,1,01-03
301,PO375468GOER-0006091,20. Pre Pickup Check,,12,09-15,Missing,Missing,12,09-15
302,PO377172AMAZ-0000402,09. Under Production,,On-Track,On-Track,Missing,Missing,-63,On-Track
303,PO377180BAMO-0002292,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
304,PO377204BUNT-0000012,09. Under Production,,On-Track,On-Track,Missing,Missing,-27,On-Track
305,PO377232HAMI-0004872,09. Under Production,,On-Track,On-Track,Missing,Missing,-39,On-Track
306,PO377316PROB-0000122,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
307,PO377318PROB-0000092,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
308,PO377325PXCA-2000021,09. Under Production,,Missing,Missing,Missing,Missing,Missing,Missing
309,PO377353PXIN-00018342,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
310,PO377393PXTR-0000051,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
311,PO377458PXWE-0001561,B. Compliance Blocked,Status B,Missing,Missing,,Missing,Missing,Missing
312,PO362936HYDB - 00021932,11. IM Sign-Off Pending,,1,1,Missing,Missing,4,04-08
313,PO365978HAPL-00002229,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
314,PO366081KIDZ-0000084,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
315,PO366471WWAF-00016424,11. IM Sign-Off Pending,,1,1,Missing,Missing,4,04-08
316,PO368111PXBA-0002042,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
317,PO369360EDOU-0000053,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
318,PO369521PXPR-0000076,32. Dispute - PO Closing Pending,,157,15+,Missing,Missing,157,15+
319,PO370257OFFI-0000101,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
320,PO371148PXHO-00008610,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
321,PO371846BAMO-00013613,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
322,PO371888ENOV-000191,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
323,PO371932M2B1-1004402,13. Batch Creation Pending,,Missing,Missing,Missing,Missing,2,01-03
324,PO372369BLAC-0002084,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
325,PO372373BOLT-00120040,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
326,PO372373BOLT-00135841,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
327,PO372373BOLT-001363122,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
328,PO372373BOLT-001167161,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
329,PO372392DDOX-0004469,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
330,PO372493LUMA-00004711,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
331,PO372600PXIN-0000268,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
332,PO372600PXIN-00013916,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
333,PO372600PXIN-00011618,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
334,PO372762M2B1-1005596,09. Under Production,,100,15+,Missing,Missing,100,15+
335,PO373879VDOM-00001011,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
336,PO374007BOLT-0010541,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
337,PO374034ENNO-0000011,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
338,PO374069HYDB - 0001543,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
339,PO374084KETT-00013916,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-25,On-Track
340,PO374087KIDZ-0000151,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
341,PO374111MOUN-0000031,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
342,PO374196PXIN-00007114,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
343,PO374198PXIN-0000191,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
344,PO374199PXIP-0000436,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
345,PO374200PXIP-0000011,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,0,On-Track
346,PO374218PXPR-0000242,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
347,PO374218PXPR-0000317,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
348,PO374031DONB-0000621,23. INB Creation Pending,,Missing,Missing,Missing,Missing,Missing,Missing
349,PO374083KETT-0000521,28. Telex Release Pending,-1.0,6,04-08,-1.0,On-Track,6,04-08
350,PO374084KETT-0001121,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-25,On-Track
351,PO374129PORT-0000102,09. Under Production,,52,15+,Missing,Missing,52,15+
352,PO374180PXFU-0003201,29. Custom Clearance Pending,,On track,On track,Missing,Missing,14,09-15
353,PO374196PXIN-00010510,18. FFW Booking Missing,,On-Track,On-Track,Missing,Missing,-1,On-Track
354,PO374227PXPX-0000041,30. Stock Delivery Pending,,2,01-03,Missing,Missing,2,01-03
355,PO374229PXPX-0000462,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
356,PO374232PXPX-0000932,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
357,PO374242PXWE-0000361,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
358,PO374287YIDB-0001363,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-20,On-Track
359,PO374367BAMO-0002795,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
360,PO374441PXSA-00023144,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
361,PO374441PXSA-00020751,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
362,PO374875PXWE-0001213,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
363,PO375166CHIL-0001142,28. Telex Release Pending,,5,04-08,Missing,Missing,5,04-08
364,PO375174HAWW-0000624,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
365,PO375231REGA-0000051,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
366,PO375307BUNT-0000081,09. Under Production,,On-Track,On-Track,Missing,Missing,-12,On-Track
367,PO375328HIGH-0000051,20. Pre Pickup Check,,5,04-08,Missing,Missing,5,04-08
368,PO375380PXDY-0000012,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
369,PO375402PXPI-0000021,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
370,PO375410PXPR-0000354,24. Mark In-Transit Pending,,Missing,Missing,Missing,Missing,Missing,Missing
371,PO375410PXPR-0000917,24. Mark In-Transit Pending,,Missing,Missing,Missing,Missing,Missing,Missing
372,PO375441VIIR_0000361,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-29,On-Track
373,PO377189BEBA-0000311,18. FFW Booking Missing,-3.0,4,04-08,-3.0,On-Track,4,04-08
374,PO377214DONB-0000263,09. Under Production,,On-Track,On-Track,Missing,Missing,-58,On-Track
375,PO377317PROB-0000493,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
376,PO377342PXFU-0000542,09. Under Production,,8,04-08,Missing,Missing,8,04-08
